Diploma notu dönüşüm tablosu:
dörtlük sistem: 1.22, yüzlük sistem 35.13, yüzlük sistem
dörtlük sistem: 1.21, yüzlük sistem 34.90, yüzlük sistem
dörtlük sistem: 1.2, yüzlük sistem 34.66, yüzlük sistem
dörtlük sistem: 1.19, yüzlük sistem 34.43, yüzlük sistem
dörtlük sistem: 1.18, yüzlük sistem 34.20, yüzlük sistem
dörtlük sistem: 1.17, yüzlük sistem 33.96, yüzlük sistem
dörtlük sistem: 1.16, yüzlük sistem 33.73, yüzlük sistem
dörtlük sistem: 1.15, yüzlük sistem 33.50, yüzlük sistem
dörtlük sistem: 1.14, yüzlük sistem 33.26, yüzlük sistem
dörtlük sistem: 1.13, yüzlük sistem 33.03, yüzlük sistem
dörtlük sistem: 1.12, yüzlük sistem 32.80, yüzlük sistem
dörtlük sistem: 1.11, yüzlük sistem 32.56, yüzlük sistem
dörtlük sistem: 1.1, yüzlük sistem 32.33, yüzlük sistem
dörtlük sistem: 1.09, yüzlük sistem 32.10, yüzlük sistem
dörtlük sistem: 1.08, yüzlük sistem 31.86, yüzlük sistem
dörtlük sistem: 1.07, yüzlük sistem 31.63, yüzlük sistem
dörtlük sistem: 1.06, yüzlük sistem 31.40, yüzlük sistem
dörtlük sistem: 1.05, yüzlük sistem 31.16, yüzlük sistem
dörtlük sistem: 1.04, yüzlük sistem 30.93, yüzlük sistem
dörtlük sistem: 1.03, yüzlük sistem 30.70, yüzlük sistem
dörtlük sistem: 1.02, yüzlük sistem 30.46, yüzlük sistem
dörtlük sistem: 1.01, yüzlük sistem 30.23, yüzlük sistem
dörtlük sistem: 1, yüzlük sistem 30.0, yüzlük sistem
